Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1914,9,5.944,5.578,5.398,4.237,4.249,3.097,2.268,3.923,3.310,2.301,0.180,0.829,0.480,6.780,1.768,0
1914,10,6.126,5.724,5.486,4.340,4.349,3.210,2.371,4.048,3.353,2.277,0.238,0.838,0.520,6.790,1.433,0
1914,11,6.066,5.776,5.441,4.292,4.304,3.167,2.106,3.941,3.670,2.274,0.335,1.061,0.560,6.810,0.945,0
1914,12,6.218,5.950,5.572,4.392,4.426,3.283,2.103,4.027,3.847,2.289,0.378,1.180,0.600,6.770,1.067,0
1915,1,6.340,5.883,5.578,4.410,4.441,3.307,2.188,4.035,3.695,2.271,0.305,1.119,0.640,6.740,1.097,0
1915,2,6.126,5.880,5.648,4.502,4.517,3.389,2.463,4.171,3.417,2.259,0.232,0.927,0.620,6.770,1.737,0
1915,3,6.066,5.669,5.462,4.319,4.328,3.191,2.435,4.052,3.234,2.271,0.207,0.756,0.370,6.680,1.981,0
1915,4,6.187,5.727,5.483,4.340,4.343,3.206,2.432,4.080,3.295,2.277,0.244,0.774,0.620,6.850,1.311,0
1915,5,6.096,5.831,5.514,4.349,4.365,3.216,2.316,4.074,3.515,2.298,0.317,0.899,0.610,6.800,1.036,0
1915,6,5.974,5.718,5.395,4.218,4.243,3.091,2.063,3.891,3.655,2.304,0.323,1.027,0.610,6.700,0.914,0
1915,7,6.005,5.733,5.441,4.264,4.285,3.130,2.118,3.925,3.615,2.310,0.293,1.012,0.640,6.730,1.158,0
1915,8,5.883,5.657,5.432,4.267,4.285,3.142,2.222,3.939,3.435,2.289,0.226,0.920,0.630,6.750,1.707,0
1915,9,5.974,5.602,5.428,4.276,4.285,3.146,2.341,3.972,3.261,2.283,0.174,0.805,0.520,6.760,1.981,0
1915,10,5.883,5.657,5.407,4.264,4.270,3.133,2.277,3.967,3.380,2.274,0.250,0.856,0.510,6.790,1.554,0
1915,11,6.370,5.883,5.541,4.383,4.392,3.243,2.167,4.025,3.716,2.298,0.341,1.076,0.630,6.850,1.280,0
1915,12,6.492,5.983,5.605,4.444,4.456,3.307,2.134,4.058,3.849,2.298,0.378,1.173,0.670,6.820,1.158,0
1916,1,6.279,5.938,5.614,4.414,4.456,3.298,2.192,4.065,3.746,2.316,0.323,1.106,0.610,6.660,0.884,0
1916,2,6.248,5.755,5.526,4.349,4.377,3.228,2.301,4.028,3.454,2.298,0.229,0.927,0.530,6.680,1.250,0
1916,3,6.096,5.733,5.529,4.380,4.407,3.286,2.530,4.132,3.203,2.243,0.204,0.756,0.540,6.780,2.042,0
1916,4,5.913,5.666,5.416,4.282,4.279,3.146,2.356,4.011,3.310,2.271,0.250,0.789,0.540,6.830,1.341,0
1916,5,5.944,5.727,5.410,4.258,4.264,3.118,2.182,3.955,3.545,2.292,0.317,0.936,0.580,6.790,1.158,0
1916,6,6.096,5.749,5.407,4.237,4.258,3.109,2.076,3.912,3.673,2.298,0.341,1.033,0.600,6.720,1.067,0
1916,7,6.035,5.755,5.453,4.292,4.328,3.200,2.201,3.978,3.554,2.252,0.302,1.000,0.590,6.690,1.219,0
1916,8,6.005,5.642,5.441,4.279,4.298,3.155,2.304,3.973,3.338,2.286,0.201,0.850,0.550,6.670,1.463,0
1916,9,5.822,5.578,5.428,4.267,4.279,3.127,2.374,3.976,3.204,2.301,0.149,0.753,0.540,6.690,1.829,0
1916,10,5.913,5.514,5.328,4.167,4.170,3.008,2.179,3.846,3.335,2.320,0.186,0.829,0.450,6.660,1.554,0
1916,11,6.401,5.712,5.407,4.228,4.237,3.066,2.054,3.883,3.658,2.341,0.305,1.012,0.450,6.630,1.280,0
1916,12,6.584,5.880,5.538,4.346,4.362,3.185,2.063,3.971,3.817,2.353,0.341,1.122,0.530,6.590,1.158,0
1917,1,6.248,5.694,5.428,4.234,4.252,3.075,1.975,3.835,3.719,2.353,0.265,1.100,0.500,6.740,1.006,0
1917,2,6.126,5.675,5.404,4.225,4.246,3.088,2.164,3.920,3.511,2.316,0.271,0.924,0.540,6.590,1.707,0
1917,3,5.944,5.584,5.377,4.215,4.221,3.069,2.313,3.949,3.271,2.307,0.207,0.756,0.510,6.640,1.798,0
1917,4,5.852,5.657,5.407,4.270,4.267,3.127,2.356,4.006,3.301,2.280,0.250,0.771,0.470,6.710,1.554,0
1917,5,5.822,5.657,5.334,4.176,4.185,3.033,2.097,3.877,3.560,2.301,0.323,0.936,0.530,6.710,1.372,0
1917,6,5.974,5.712,5.371,4.206,4.218,3.063,2.082,3.897,3.630,2.307,0.341,0.981,0.600,6.670,1.158,0
1917,7,6.035,5.724,5.438,4.252,4.273,3.106,2.164,3.944,3.560,2.332,0.287,0.942,0.560,6.590,1.280,0
1917,8,6.035,5.608,5.395,4.203,4.218,3.042,2.249,3.928,3.359,2.353,0.213,0.792,0.510,6.610,1.311,0
1917,9,6.035,5.544,5.407,4.234,4.231,3.057,2.390,3.967,3.154,2.350,0.137,0.668,0.430,6.650,1.920,0
1917,10,5.944,5.511,5.328,4.148,4.145,2.960,2.219,3.865,3.292,2.368,0.183,0.741,0.430,6.660,1.341,0
1917,11,6.096,5.715,5.422,4.243,4.258,3.097,2.109,3.912,3.606,2.326,0.293,0.988,0.530,6.680,1.341,0
