Year,CO2_ppm,Source
-678131,225,"EPICA Dome C and  Vostok Station,  Antarctica"
-677782,223,"EPICA Dome C and  Vostok Station,  Antarctica"
-677302,230.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-676964,230.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-676341,230,"EPICA Dome C and  Vostok Station,  Antarctica"
-676034,226.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-675430,217.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-675118,215.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-674574,214,"EPICA Dome C and  Vostok Station,  Antarctica"
-674220,217.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-673639,220,"EPICA Dome C and  Vostok Station,  Antarctica"
-672571,213.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-672223,209.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-671525,202.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-671145,198.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-670436,194.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-669976,192.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-669336,194.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-668966,192.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-668226,189.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-667801,185.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-666984,178.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-666497,175.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-665619,171.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-665045,172.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-664224,178.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-663695,178.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-662740,185.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-662242,189.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-661256,189,"EPICA Dome C and  Vostok Station,  Antarctica"
-660719,187.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-659700,189.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-659031,186.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-658134,183.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-657574,182.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-656524,189.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-655973,191.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-654932,198.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-654336,198.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-653252,193.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-652523,191.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-651498,185.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-650852,185.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-649606,192,"EPICA Dome C and  Vostok Station,  Antarctica"
-648941,187.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-647648,194.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-646996,192.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-645638,190.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-644773,188.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-643520,194.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-642712,194.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-641254,190.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-640455,190.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-638810,189.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-637898,187.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-636177,194.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-635007,193,"EPICA Dome C and  Vostok Station,  Antarctica"
-633539,193.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-632642,192.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-630906,195.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-630051,199.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-628345,199.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-627496,198.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-626049,205,"EPICA Dome C and  Vostok Station,  Antarctica"
-625261,214.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-624265,227.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-623620,234.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-622740,237.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-621264,238.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-619810,243,"EPICA Dome C and  Vostok Station,  Antarctica"
-618388,245.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-617005,247.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-615594,252.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-614277,252.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-612973,252.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-611759,256,"EPICA Dome C and  Vostok Station,  Antarctica"
-610564,258,"EPICA Dome C and  Vostok Station,  Antarctica"
-609369,259.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-608186,257.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-606979,259.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-605758,254.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-604424,248.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-603126,244.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-601723,239.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-600328,237.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-598932,232.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-597484,229.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-596883,226,"EPICA Dome C and  Vostok Station,  Antarctica"
-596016,219,"EPICA Dome C and  Vostok Station,  Antarctica"
-595493,216.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-594565,216.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-594000,221.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-593239,232.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-592689,238,"EPICA Dome C and  Vostok Station,  Antarctica"
-591920,238.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-591465,233.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-590747,229.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-590329,225.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-588943,237.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-588385,243.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-587918,248.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-587274,250.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-586766,246.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-586084,238.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-585697,234.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-584943,226,"EPICA Dome C and  Vostok Station,  Antarctica"
-584456,224,"EPICA Dome C and  Vostok Station,  Antarctica"
-581463,210.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-581084,206.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-580441,209.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-580050,215.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-579557,219.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-579210,225.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-578745,230.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-578450,236.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-578069,243.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-577871,244.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-577485,251.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-576907,252.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-576355,249.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-575819,251.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-575292,251.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-574773,251.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-574272,252.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-573780,252.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-573315,248.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-572853,252.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-572403,251.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-571952,251.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-571512,248.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-571087,249.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-570669,247.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-570240,246.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-569825,250.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-569417,251.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-569005,249.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-568598,251.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-568189,251.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-567778,251.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-567381,250,"EPICA Dome C and  Vostok Station,  Antarctica"
-566996,251.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-566606,250.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-566217,253,"EPICA Dome C and  Vostok Station,  Antarctica"
-565827,252.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-565431,253.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-565057,253.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-564669,254.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-564283,253.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-563901,254.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-563516,253.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-563127,251.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-562749,252.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-562361,252.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-561968,251.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-561567,247.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-561165,245.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-560740,245.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-560322,242.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-559896,240.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-559359,234.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-558980,234.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-558509,231.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-558022,231.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-557511,228.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-556979,230.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-556443,230.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-556233,229.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-555937,234.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-555435,238.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-554939,240.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-554774,245.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-554414,250.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-554193,244,"EPICA Dome C and  Vostok Station,  Antarctica"
-553889,249.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-553687,243,"EPICA Dome C and  Vostok Station,  Antarctica"
-553395,241,"EPICA Dome C and  Vostok Station,  Antarctica"
-552881,233.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-552304,226.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-551676,224.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-551011,223.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-550300,220.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-550029,222.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-549502,226.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-549174,222.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-548687,221.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-547880,219.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-546983,215.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-546022,213.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-545623,208.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-545063,202.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-544006,204.6,"EPICA Dome C and  Vostok Station,  Antarctica"
