agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
USGS,12186000,00060,149376,1950,2,996
USGS,12186000,00060,149376,1950,3,1264
USGS,12186000,00060,149376,1950,4,996.1
USGS,12186000,00060,149376,1950,5,1706
USGS,12186000,00060,149376,1950,6,3505
USGS,12186000,00060,149376,1950,7,2671
USGS,12186000,00060,149376,1950,8,1153
USGS,12186000,00060,149376,1950,9,468.6
USGS,12186000,00060,149376,1950,10,1362
USGS,12186000,00060,149376,1950,11,1611
USGS,12186000,00060,149376,1950,12,1988
USGS,12186000,00060,149376,1951,1,921
USGS,12186000,00060,149376,1951,2,2369
USGS,12186000,00060,149376,1951,3,581.5
USGS,12186000,00060,149376,1951,4,1252
USGS,12186000,00060,149376,1951,5,2202
USGS,12186000,00060,149376,1951,6,1843
USGS,12186000,00060,149376,1951,7,997.2
USGS,12186000,00060,149376,1951,8,405.6
USGS,12186000,00060,149376,1951,9,428.4
USGS,12186000,00060,149376,1951,10,1248
USGS,12186000,00060,149376,1951,11,828.1
USGS,12186000,00060,149376,1951,12,582.3
USGS,12186000,00060,149376,1952,1,353.2
USGS,12186000,00060,149376,1952,2,729.7
USGS,12186000,00060,149376,1952,3,363
USGS,12186000,00060,149376,1952,4,1208
USGS,12186000,00060,149376,1952,5,2302
USGS,12186000,00060,149376,1952,6,1969
USGS,12186000,00060,149376,1952,7,1319
USGS,12186000,00060,149376,1952,8,501.8
USGS,12186000,00060,149376,1952,9,277.7
USGS,12186000,00060,149376,1952,10,194.2
USGS,12186000,00060,149376,1952,11,229.7
USGS,12186000,00060,149376,1952,12,516.1
USGS,12186000,00060,149376,1953,1,2584
USGS,12186000,00060,149376,1953,2,1444
USGS,12186000,00060,149376,1953,3,569.8
USGS,12186000,00060,149376,1953,4,967
USGS,12186000,00060,149376,1953,5,1973
USGS,12186000,00060,149376,1953,6,2008
USGS,12186000,00060,149376,1953,7,2131
USGS,12186000,00060,149376,1953,8,815.4
USGS,12186000,00060,149376,1953,9,544.6
USGS,12186000,00060,149376,1953,10,900.7
USGS,12186000,00060,149376,1953,11,1314
USGS,12186000,00060,149376,1953,12,1687
USGS,12186000,00060,149376,1954,1,918.7
USGS,12186000,00060,149376,1954,2,1328
USGS,12186000,00060,149376,1954,3,696.5
USGS,12186000,00060,149376,1954,4,949.2
USGS,12186000,00060,149376,1954,5,2101
USGS,12186000,00060,149376,1954,6,2494
USGS,12186000,00060,149376,1954,7,2875
USGS,12186000,00060,149376,1954,8,1393
USGS,12186000,00060,149376,1954,9,843
USGS,12186000,00060,149376,1954,10,818.5
USGS,12186000,00060,149376,1954,11,1715
USGS,12186000,00060,149376,1954,12,759.7
USGS,12186000,00060,149376,1955,1,472.5
USGS,12186000,00060,149376,1955,2,669.4
USGS,12186000,00060,149376,1955,3,292.6
USGS,12186000,00060,149376,1955,4,723.7
USGS,12186000,00060,149376,1955,5,1429
USGS,12186000,00060,149376,1955,6,3117
USGS,12186000,00060,149376,1955,7,2357
USGS,12186000,00060,149376,1955,8,982.2
USGS,12186000,00060,149376,1955,9,430.5
USGS,12186000,00060,149376,1955,10,1692
USGS,12186000,00060,149376,1955,11,2255
USGS,12186000,00060,149376,1955,12,1308
USGS,12186000,00060,149376,1956,1,647.1
USGS,12186000,00060,149376,1956,2,286.1
USGS,12186000,00060,149376,1956,3,482.7
USGS,12186000,00060,149376,1956,4,1398
USGS,12186000,00060,149376,1956,5,2875
USGS,12186000,00060,149376,1956,6,2948
USGS,12186000,00060,149376,1956,7,2345
USGS,12186000,00060,149376,1956,8,739.2
USGS,12186000,00060,149376,1956,9,638.6
USGS,12186000,00060,149376,1956,10,1435
USGS,12186000,00060,149376,1956,11,1062
USGS,12186000,00060,149376,1956,12,1986
USGS,12186000,00060,149376,1957,1,437
USGS,12186000,00060,149376,1957,2,765.1
USGS,12186000,00060,149376,1957,3,773.9
USGS,12186000,00060,149376,1957,4,1168
USGS,12186000,00060,149376,1957,5,2724
USGS,12186000,00060,149376,1957,6,1938
USGS,12186000,00060,149376,1957,7,917.7
USGS,12186000,00060,149376,1957,8,455.8
USGS,12186000,00060,149376,1957,9,328.3
USGS,12186000,00060,149376,1957,10,426.6
USGS,12186000,00060,149376,1957,11,594.6
USGS,12186000,00060,149376,1957,12,924.4
USGS,12186000,00060,149376,1958,1,1117
USGS,12186000,00060,149376,1958,2,1006
USGS,12186000,00060,149376,1958,3,580.3
USGS,12186000,00060,149376,1958,4,986.8
USGS,12186000,00060,149376,1958,5,2464
USGS,12186000,00060,149376,1958,6,1784
USGS,12186000,00060,149376,1958,7,712.1
USGS,12186000,00060,149376,1958,8,323.9
USGS,12186000,00060,149376,1958,9,493.4
USGS,12186000,00060,149376,1958,10,1010
USGS,12186000,00060,149376,1958,11,1999
USGS,12186000,00060,149376,1958,12,2018
USGS,12186000,00060,149376,1959,1,1504
USGS,12186000,00060,149376,1959,2,525.3
USGS,12186000,00060,149376,1959,3,722.2
USGS,12186000,00060,149376,1959,4,1718
USGS,12186000,00060,149376,1959,5,1895
USGS,12186000,00060,149376,1959,6,2675
USGS,12186000,00060,149376,1959,7,1975
USGS,12186000,00060,149376,1959,8,638.2
USGS,12186000,00060,149376,1959,9,1480
USGS,12186000,00060,149376,1959,10,1845
USGS,12186000,00060,149376,1959,11,2268
USGS,12186000,00060,149376,1959,12,1483
USGS,12186000,00060,149376,1960,1,611.5
USGS,12186000,00060,149376,1960,2,811.5
USGS,12186000,00060,149376,1960,3,610.3
USGS,12186000,00060,149376,1960,4,1232
USGS,12186000,00060,149376,1960,5,1760
USGS,12186000,00060,149376,1960,6,2188
USGS,12186000,00060,149376,1960,7,1289
USGS,12186000,00060,149376,1960,8,524.3
USGS,12186000,00060,149376,1960,9,383.5
USGS,12186000,00060,149376,1960,10,716.1
USGS,12186000,00060,149376,1960,11,1315
USGS,12186000,00060,149376,1960,12,856.1
USGS,12186000,00060,149376,1961,1,1599
USGS,12186000,00060,149376,1961,2,1746
USGS,12186000,00060,149376,1961,3,968.4
USGS,12186000,00060,149376,1961,4,940.8
USGS,12186000,00060,149376,1961,5,1903
USGS,12186000,00060,149376,1961,6,2663
USGS,12186000,00060,149376,1961,7,1177
USGS,12186000,00060,149376,1961,8,467.7
USGS,12186000,00060,149376,1961,9,431.2
USGS,12186000,00060,149376,1961,10,854.6
USGS,12186000,00060,149376,1961,11,707.8
USGS,12186000,00060,149376,1961,12,1085
USGS,12186000,00060,149376,1962,1,1545
USGS,12186000,00060,149376,1962,2,777.5
USGS,12186000,00060,149376,1962,3,356.8
USGS,12186000,00060,149376,1962,4,1207
USGS,12186000,00060,149376,1962,5,1198
USGS,12186000,00060,149376,1962,6,2051
USGS,12186000,00060,149376,1962,7,1342
USGS,12186000,00060,149376,1962,8,676.9
USGS,12186000,00060,149376,1962,9,491.2
USGS,12186000,00060,149376,1962,10,665.3
USGS,12186000,00060,149376,1962,11,1435
USGS,12186000,00060,149376,1962,12,1598
USGS,12186000,00060,149376,1963,1,870.4
USGS,12186000,00060,149376,1963,2,1735
USGS,12186000,00060,149376,1963,3,699.4
USGS,12186000,00060,149376,1963,4,795.1
USGS,12186000,00060,149376,1963,5,1367
USGS,12186000,00060,149376,1963,6,1425
USGS,12186000,00060,149376,1963,7,851.1
USGS,12186000,00060,149376,1963,8,436.5
USGS,12186000,00060,149376,1963,9,343.2
USGS,12186000,00060,149376,1963,10,817.5
USGS,12186000,00060,149376,1963,11,1404
USGS,12186000,00060,149376,1963,12,1309
USGS,12186000,00060,149376,1964,1,1266
USGS,12186000,00060,149376,1964,2,592.8
USGS,12186000,00060,149376,1964,3,552.8
USGS,12186000,00060,149376,1964,4,756.4
USGS,12186000,00060,149376,1964,5,1523
USGS,12186000,00060,149376,1964,6,3020
USGS,12186000,00060,149376,1964,7,2620
USGS,12186000,00060,149376,1964,8,1301
USGS,12186000,00060,149376,1964,9,786.2
USGS,12186000,00060,149376,1964,10,1022
USGS,12186000,00060,149376,1964,11,919.7
USGS,12186000,00060,149376,1964,12,1291
USGS,12186000,00060,149376,1965,1,1126
USGS,12186000,00060,149376,1965,2,1297
USGS,12186000,00060,149376,1965,3,685.2
USGS,12186000,00060,149376,1965,4,1252
USGS,12186000,00060,149376,1965,5,1838
USGS,12186000,00060,149376,1965,6,2107
USGS,12186000,00060,149376,1965,7,1392
USGS,12186000,00060,149376,1965,8,655.1
USGS,12186000,00060,149376,1965,9,332.1
USGS,12186000,00060,149376,1965,10,594.4
USGS,12186000,00060,149376,1965,11,1015
USGS,12186000,00060,149376,1965,12,778.2
USGS,12186000,00060,149376,1966,1,833
USGS,12186000,00060,149376,1966,2,396
USGS,12186000,00060,149376,1966,3,720.9
USGS,12186000,00060,149376,1966,4,1314
USGS,12186000,00060,149376,1966,5,2040
USGS,12186000,00060,149376,1966,6,2155
USGS,12186000,00060,149376,1966,7,1525
USGS,12186000,00060,149376,1966,8,604.5
USGS,12186000,00060,149376,1966,9,289.5
USGS,12186000,00060,149376,1966,10,809.6
USGS,12186000,00060,149376,1966,11,735
USGS,12186000,00060,149376,1966,12,1838
USGS,12186000,00060,149376,1967,1,1281
USGS,12186000,00060,149376,1967,2,872.9
USGS,12186000,00060,149376,1967,3,623.6
USGS,12186000,00060,149376,1967,4,470.2
USGS,12186000,00060,149376,1967,5,1735
USGS,12186000,00060,149376,1967,6,3313
USGS,12186000,00060,149376,1967,7,1785
USGS,12186000,00060,149376,1967,8,661.4
USGS,12186000,00060,149376,1967,9,405
USGS,12186000,00060,149376,1967,10,2174
USGS,12186000,00060,149376,1967,11,1253
USGS,12186000,00060,149376,1967,12,1453
USGS,12186000,00060,149376,1968,1,1755
USGS,12186000,00060,149376,1968,2,1879
USGS,12186000,00060,149376,1968,3,1147
USGS,12186000,00060,149376,1968,4,741.9
USGS,12186000,00060,149376,1968,5,1704
USGS,12186000,00060,149376,1968,6,2489
USGS,12186000,00060,149376,1968,7,1422
USGS,12186000,00060,149376,1968,8,576.6
USGS,12186000,00060,149376,1968,9,737.2
USGS,12186000,00060,149376,1968,10,812.6
USGS,12186000,00060,149376,1968,11,1369
USGS,12186000,00060,149376,1968,12,910.3
USGS,12186000,00060,149376,1969,1,923.6
USGS,12186000,00060,149376,1969,2,310.1
USGS,12186000,00060,149376,1969,3,553.7
USGS,12186000,00060,149376,1969,4,1160
USGS,12186000,00060,149376,1969,5,2749
USGS,12186000,00060,149376,1969,6,2840
USGS,12186000,00060,149376,1969,7,943.1
USGS,12186000,00060,149376,1969,8,432.4
USGS,12186000,00060,149376,1969,9,705.5
USGS,12186000,00060,149376,1969,10,824.3
USGS,12186000,00060,149376,1969,11,708.5
USGS,12186000,00060,149376,1969,12,681.5
USGS,12186000,00060,149376,1970,1,918.2
USGS,12186000,00060,149376,1970,2,853.7
USGS,12186000,00060,149376,1970,3,627.6
USGS,12186000,00060,149376,1970,4,777.1
USGS,12186000,00060,149376,1970,5,1332
USGS,12186000,00060,149376,1970,6,2281
USGS,12186000,00060,149376,1970,7,946.4
USGS,12186000,00060,149376,1970,8,379.9
USGS,12186000,00060,149376,1970,9,527.5
USGS,12186000,00060,149376,1970,10,459.1
USGS,12186000,00060,149376,1970,11,1065
USGS,12186000,00060,149376,1970,12,797.2
USGS,12186000,00060,149376,1971,1,1355
USGS,12186000,00060,149376,1971,2,1505
USGS,12186000,00060,149376,1971,3,647.1
USGS,12186000,00060,149376,1971,4,804.9
USGS,12186000,00060,149376,1971,5,2495
USGS,12186000,00060,149376,1971,6,2318
USGS,12186000,00060,149376,1971,7,2746
USGS,12186000,00060,149376,1971,8,1105
USGS,12186000,00060,149376,1971,9,500.7
USGS,12186000,00060,149376,1971,10,520.7
USGS,12186000,00060,149376,1971,11,943.3
USGS,12186000,00060,149376,1971,12,577.5
USGS,12186000,00060,149376,1972,1,760.2
USGS,12186000,00060,149376,1972,2,1433
USGS,12186000,00060,149376,1972,3,2442
USGS,12186000,00060,149376,1972,4,1148
USGS,12186000,00060,149376,1972,5,2785
USGS,12186000,00060,149376,1972,6,3183
USGS,12186000,00060,149376,1972,7,2754
USGS,12186000,00060,149376,1972,8,1236
USGS,12186000,00060,149376,1972,9,849.6
USGS,12186000,00060,149376,1972,10,367.3
USGS,12186000,00060,149376,1972,11,657.4
USGS,12186000,00060,149376,1972,12,1479
USGS,12186000,00060,149376,1973,1,1108
USGS,12186000,00060,149376,1973,2,392.5
USGS,12186000,00060,149376,1973,3,496
USGS,12186000,00060,149376,1973,4,641.8
USGS,12186000,00060,149376,1973,5,1668
USGS,12186000,00060,149376,1973,6,1668
USGS,12186000,00060,149376,1973,7,1044
USGS,12186000,00060,149376,1973,8,435
USGS,12186000,00060,149376,1973,9,397.5
USGS,12186000,00060,149376,1973,10,750.2
USGS,12186000,00060,149376,1973,11,1014
USGS,12186000,00060,149376,1973,12,1331
USGS,12186000,00060,149376,1974,1,1957
USGS,12186000,00060,149376,1974,2,790.1
USGS,12186000,00060,149376,1974,3,1057
USGS,12186000,00060,149376,1974,4,1091
USGS,12186000,00060,149376,1974,5,1708
USGS,12186000,00060,149376,1974,6,3648
USGS,12186000,00060,149376,1974,7,2729
USGS,12186000,00060,149376,1974,8,1333
USGS,12186000,00060,149376,1974,9,614.3
USGS,12186000,00060,149376,1974,10,227.9
USGS,12186000,00060,149376,1974,11,856.9
USGS,12186000,00060,149376,1974,12,1196
USGS,12186000,00060,149376,1975,1,996.3
USGS,12186000,00060,149376,1975,2,602.7
USGS,12186000,00060,149376,1975,3,636.6
